position_id,signal_id,timeframe,symbol,side,entry_time,entry_price,ideal_entry_price,entry_price_quality,tp_price,sl_price,timeout_time,notional_eur,p_win,EV_pred,candidate_id,vol_decile,status,exit_time,exit_price,exit_reason,pnl_eur,pnl_pct,wallet_equity_after
b6cd528b9c6c,BTCUSDT|15m|20260610T113000Z|long|186,15m,BTCUSDT,long,2026-06-10T11:41:17.748273+00:00,60908.24,60908.24,fallback_last_close,61281.78530641624,60596.95224465312,2026-06-10T13:40:59.063916+00:00,100.0,0.6945592164993286,0.0014986391244297223,186,6,closed,2026-06-10T12:44:59+00:00,61281.78530641624,TP,0.493291906671809,0.00493291906671809,100.49329190667181
02bd39091418,BTCUSDT|15m|20260610T124500Z|long|194,15m,BTCUSDT,long,2026-06-10T12:46:17.092497+00:00,61680.7,61640.24,ticker_coinbase,62454.42884193741,61061.71692645007,2026-06-10T16:46:01.721337+00:00,100.49329190667181,0.6945592164993286,0.004447436285260037,194,7,closed,2026-06-10T15:59:59+00:00,62454.42884193741,TP,1.1400059088385606,0.011344099563354785,101.63329781551037
e9a62755f6a7,BTCUSDT|15m|20260610T160000Z|long|195,15m,BTCUSDT,long,2026-06-10T16:01:42.813523+00:00,62444.99,62580.66,ticker_coinbase,62938.20604837967,62050.41716129626,2026-06-10T17:01:27.399475+00:00,101.63329781551037,0.682318389415741,0.0021818861188416536,195,8,closed,2026-06-10T16:29:59+00:00,62050.41716129626,SL,-0.7641530112311034,-0.0075187269099368445,100.86914480427927
e6a52646b396,BTCUSDT|15m|20260610T163000Z|long|195,15m,BTCUSDT,long,2026-06-10T16:31:33.208533+00:00,62165.26,62229.58,ticker_coinbase,62656.26662653152,61772.45469877478,2026-06-10T17:31:17.082726+00:00,100.86914480427927,0.673281729221344,0.002053410695962499,195,8,closed,2026-06-10T17:31:59+00:00,61772.45469877478,SL,-0.7584075534222509,-0.007518726909936845,100.11073725085703
112dd16396d8,BTCUSDT|15m|20260610T173000Z|long|195,15m,BTCUSDT,long,2026-06-10T17:36:18.114093+00:00,61740.0,61847.18,ticker_coinbase,62227.64774927437,61349.8818005805,2026-06-10T18:35:55.224856+00:00,100.11073725085703,0.6954828500747681,0.0023690470404389014,195,8,closed,2026-06-10T18:35:58.763096+00:00,61786.82,TIMEOUT,-0.04421476487457265,-0.0004416585681891393,100.06652248598246
0b7db7688c0e,BTCUSDT|15m|20260610T183000Z|long|191,15m,BTCUSDT,long,2026-06-10T18:36:21.680266+00:00,61816.86,61957.91,ticker_coinbase,62282.12210792037,61429.141576733025,2026-06-10T20:35:58.762328+00:00,100.06652248598246,0.682318389415741,0.0019429270101354189,191,7,closed,2026-06-10T20:35:59.450956+00:00,61821.46,TIMEOUT,-0.11263354123790063,-0.0011255866441614237,99.95388894474456
73bc4e1b4d02,BTCUSDT|15m|20260610T203000Z|long|188,15m,BTCUSDT,long,2026-06-10T20:36:22.824035+00:00,61831.6,61849.25,ticker_coinbase,62463.61366427616,61325.98906857907,2026-06-11T00:35:59.450246+00:00,99.95388894474456,0.6954828500747681,0.003418794673106321,188,6,closed,2026-06-10T21:50:59+00:00,61325.98906857907,SL,-0.9372901484695145,-0.009377225422291045,99.01659879627505
7cc796496213,BTCUSDT|15m|20260610T214500Z|long|188,15m,BTCUSDT,long,2026-06-10T21:51:21.386239+00:00,61240.04,61620.98,ticker_coinbase,61866.00701493765,60739.26638804988,2026-06-11T01:51:01.176714+00:00,99.01659879627505,0.682318389415741,0.003176584957769891,188,6,closed,2026-06-11T00:17:59+00:00,61866.00701493765,TP,0.8932813925765838,0.00902153177786378,99.90988018885163
9759ae314661,BTCUSDT|15m|20260611T001500Z|long|188,15m,BTCUSDT,long,2026-06-11T00:21:15.976062+00:00,61879.01,61626.0,ticker_coinbase,62511.50826709775,61373.0113863218,2026-06-11T04:20:57.969175+00:00,99.90988018885163,0.6945592164993286,0.003401800963209899,188,6,closed,2026-06-11T03:55:51.401677+00:00,62511.50826709775,TP,0.9013401590462878,0.00902153177786378,100.81122034789792
8722eb8ec769,BTCUSDT|15m|20260611T034500Z|long|187,15m,BTCUSDT,long,2026-06-11T03:56:18.799437+00:00,62649.8,62290.22,ticker_coinbase,63162.10153726144,62137.49846273856,2026-06-11T07:55:51.400911+00:00,100.81122034789792,0.682692289352417,0.0017878320658982554,187,6,closed,2026-06-11T07:55:53.813852+00:00,62648.55,TIMEOUT,-0.12298486789258518,-0.0012199521786182765,100.68823548000533
c9ccb5ddf5d1,BTCUSDT|15m|20260611T080000Z|long|179,15m,BTCUSDT,long,2026-06-11T08:01:41.973958+00:00,62652.42,62639.88,ticker_coinbase,63001.317794162926,62390.7466543778,2026-06-11T10:01:25.248232+00:00,100.68823548000533,0.6945592164993286,0.0013921499415994393,179,4,closed,2026-06-11T10:06:01.149098+00:00,62792.46,TIMEOUT,0.10423135378644777,0.0010351889998821762,100.79246683379178
ceb5f22f0774,BTCUSDT|15m|20260611T110000Z|long|178,15m,BTCUSDT,long,2026-06-11T11:01:38.172883+00:00,63080.0,63067.15,ticker_coinbase,63431.27889482637,62728.72110517363,2026-06-11T15:01:19.649885+00:00,100.79246683379178,0.682692289352417,0.0008347477963543679,178,4,closed,2026-06-11T12:22:59+00:00,62728.72110517363,SL,-0.6822424369950623,-0.006768784001686255,100.11022439679671
4678696f96aa,BTCUSDT|15m|20260611T121500Z|long|179,15m,BTCUSDT,long,2026-06-11T12:26:20.283824+00:00,62702.65,63084.52,ticker_coinbase,63051.82751418334,62440.7668643625,2026-06-11T14:25:57.732005+00:00,100.11022439679671,0.6604061126708984,0.0010593152397359773,179,4,closed,2026-06-11T12:30:59+00:00,62440.7668643625,SL,-0.5382514312957385,-0.005376588001264747,99.57197296550098
deed6f737aae,BTCUSDT|15m|20260611T123000Z|long|182,15m,BTCUSDT,long,2026-06-11T12:31:34.118559+00:00,62630.72,62615.99,ticker_coinbase,63053.951364491186,62207.48863550882,2026-06-11T16:31:14.980028+00:00,99.57197296550098,0.673281729221344,0.001141926220862259,182,5,closed,2026-06-11T13:45:59+00:00,63053.951364491186,TP,0.5533780348188277,0.005557568242727885,100.12535100031981
