tick_ts_utc,timeframe,regime,leverage,candle_open_time,candle_close_time,execution_candle_open,btc_close,vol_pred,vol_decile,n_candidates_initial,n_in_band,p_win_max,p_win_min,EV_max,prob_band_min,prob_band_max,decision,reason_no_signal,winner_side,winner_candidate_id,winner_p_win_calibrated,winner_EV_pred,winner_tp_pct,winner_sl_pct,winner_tp_mult,winner_sl_mult,winner_H,winner_p_break_even,winner_edge_over_be,signal_id,position_id,entry_price,entry_price_quality,dry_run,mode
2026-07-01T00:02:42.652817+00:00,4h,bajista,2.0,2026-06-30T23:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58523.93,0.012812534626159987,4,10,0,0.49909529089927673,0.3861124515533447,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:07:27.549564+00:00,4h,bajista,2.0,2026-06-30T23:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58523.93,0.012812534626159987,4,10,0,0.49909529089927673,0.3861124515533447,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:12:38.485929+00:00,4h,bajista,2.0,2026-06-30T23:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58523.93,0.012812534626159987,4,10,0,0.49909529089927673,0.3861124515533447,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:17:33.691459+00:00,4h,bajista,2.0,2026-07-01T00:00:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58547.72,0.011828405066818166,4,10,0,0.532423198223114,0.3861124515533447,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:35:33.734831+00:00,4h,bajista,2.0,2026-07-01T00:15:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58298.24,0.012332052558116533,4,10,0,0.532423198223114,0.43433573842048645,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:42:38.228053+00:00,4h,bajista,2.0,2026-07-01T00:15:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58298.24,0.012332052558116533,4,10,0,0.532423198223114,0.43433573842048645,0.0003400800104123023,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:47:34.398879+00:00,4h,bajista,2.0,2026-07-01T00:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58387.56,0.0123309208906363,4,10,0,0.532423198223114,0.3861124515533447,-0.0002228720364476609,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:52:18.316738+00:00,4h,bajista,2.0,2026-07-01T00:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58387.56,0.0123309208906363,4,10,0,0.532423198223114,0.3861124515533447,-0.0002228720364476609,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T00:57:18.027633+00:00,4h,bajista,2.0,2026-07-01T00:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58387.56,0.0123309208906363,4,10,0,0.532423198223114,0.3861124515533447,-0.0002228720364476609,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:02:30.619822+00:00,4h,bajista,2.0,2026-07-01T00:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58486.84,0.01232966708800598,4,10,0,0.5246478915214539,0.3861124515533447,-0.0005848529921560713,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:07:24.547525+00:00,4h,bajista,2.0,2026-07-01T00:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58486.84,0.01232966708800598,4,10,0,0.5246478915214539,0.3861124515533447,-0.0005848529921560713,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:12:16.215567+00:00,4h,bajista,2.0,2026-07-01T00:45:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58486.84,0.01232966708800598,4,10,0,0.5246478915214539,0.3861124515533447,-0.0005848529921560713,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:17:33.043410+00:00,4h,bajista,2.0,2026-07-01T01:00:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58075.91,0.013126049410483188,4,10,0,0.532423198223114,0.3861124515533447,-0.00039080164101181814,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:22:23.148044+00:00,4h,bajista,2.0,2026-07-01T01:00:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58075.91,0.013126049410483188,4,10,0,0.532423198223114,0.3861124515533447,-0.00039080164101181814,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:26:59.661659+00:00,4h,bajista,2.0,2026-07-01T01:00:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58075.91,0.013126049410483188,4,10,0,0.532423198223114,0.3861124515533447,-0.00039080164101181814,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:32:36.567599+00:00,4h,bajista,2.0,2026-07-01T01:15:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58258.36,0.013121229846312334,4,10,0,0.49909529089927673,0.3861124515533447,-0.0007744992580281881,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:37:05.098782+00:00,4h,bajista,2.0,2026-07-01T01:15:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58258.36,0.013121229846312334,4,10,0,0.49909529089927673,0.3861124515533447,-0.0007744992580281881,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:42:26.723613+00:00,4h,bajista,2.0,2026-07-01T01:15:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58258.36,0.013121229846312334,4,10,0,0.49909529089927673,0.3861124515533447,-0.0007744992580281881,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:47:03.602425+00:00,4h,bajista,2.0,2026-07-01T01:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58806.05,0.013513668418593918,4,10,0,0.49909529089927673,0.3861124515533447,-0.0010741206440014674,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:52:05.585576+00:00,4h,bajista,2.0,2026-07-01T01:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58806.05,0.013513668418593918,4,10,0,0.49909529089927673,0.3861124515533447,-0.0010741206440014674,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-01T01:57:05.504318+00:00,4h,bajista,2.0,2026-07-01T01:30:00,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,58806.05,0.013513668418593918,4,10,0,0.49909529089927673,0.3861124515533447,-0.0010741206440014674,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
