position_id,signal_id,timeframe,symbol,side,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,p_win,EV_pred,candidate_id,vol_decile,regime,leverage,pnl_eur,pnl_pct,wallet_equity_after,exchange,size_btc,ideal_entry_price,entry_price_quality,timeout_time,notional_eur,status,bitget_order,pnl_pct_notional
a8884c6aaa97,BTCUSDT|4h|20260619T080000Z|long|379,4h,BTCUSDT,long,2026-06-19T10:37:25.613839+00:00,2026-06-19T14:37:59+00:00,62408.4,63346.93254128285,63346.93254128285,61401.06745871715,TP,0.6407766938209534,0.0031917730616159,379,4,bajista,2.0,0.8636424612828505,0.0177558071809796,49.50364246128285,bitget,0.001,62436.78,ticker_coinbase,2026-06-20T10:37:02.727304+00:00,62.4084,closed,"{'clientOid': 'ea8884c6aaa97', 'orderId': '1451814392281317377'}",0.0138385611757848
d1b9cb7383af,BTCUSDT|4h|20260619T120000Z|long|379,4h,BTCUSDT,long,2026-06-19T14:38:48.883305+00:00,2026-06-20T14:42:20.292820+00:00,63308.3,63336.22,64264.23114231232,62290.18885768768,TIMEOUT,0.6753507256507874,0.0042703699337291,379,4,bajista,2.0,-0.0480499600000058,-0.0009706348383876,49.45559250128285,bitget,0.001,63205.06,ticker_coinbase,2026-06-20T14:38:16.081756+00:00,63.3083,closed,"{'clientOid': 'ed1b9cb7383af', 'orderId': '1451875138788802561'}",-0.0007589835771929
60001a3f563b,BTCUSDT|4h|20260620T200000Z|long|374,4h,BTCUSDT,long,2026-06-20T20:17:23.441337+00:00,2026-06-21T20:17:04.053919+00:00,63935.1,64062.45,64682.48243939493,63070.55756060508,TIMEOUT,0.6010100841522217,0.0013489908913889,374,3,bajista,2.0,0.0506278800000016,0.0010237038409496,49.50622038128285,bitget,0.001,63883.99,ticker_coinbase,2026-06-21T20:17:00.313351+00:00,63.9351,closed,"{'clientOid': 'e60001a3f563b', 'orderId': '1452322732849643521'}",0.0007918636242064
8a2d0974ad7c,BTCUSDT|4h|20260622T000000Z|long|374,4h,BTCUSDT,long,2026-06-22T01:27:45.495529+00:00,2026-06-22T04:01:59+00:00,64644.3,63794.427413859936,65424.85258614007,63794.427413859936,SL,0.6753507256507874,0.0032249780230725,374,3,bajista,2.0,-0.9274457461400653,-0.0187339235150076,48.57877463514278,bitget,0.001,63813.27,ticker_coinbase,2026-06-23T01:27:10.872319+00:00,64.6443,closed,"{'clientOid': 'e8a2d0974ad7c', 'orderId': '1452763226582958081'}",-0.0143469067828109
df705a998d6a,BTCUSDT|4h|20260622T120000Z|long|379,4h,BTCUSDT,long,2026-06-22T13:48:06.686263+00:00,2026-06-22T17:30:59+00:00,65415.7,64367.384587564135,66407.25541243587,64367.384587564135,SL,0.6407766938209534,0.0031917730616159,379,4,alcista,2.0,-1.1268142524358624,-0.0231956088003237,47.45196038270692,bitget,0.001,65340.75,ticker_coinbase,2026-06-23T13:47:32.383882+00:00,65.4157,closed,"{'clientOid': 'edf705a998d6a', 'orderId': '1452949542251675649'}",-0.0172254405660393
8e96c05da065,BTCUSDT|4h|20260622T160000Z|long|374,4h,BTCUSDT,long,2026-06-22T17:48:08.191039+00:00,2026-06-23T04:56:59+00:00,64446.8,63580.78746385345,65205.75253614655,63580.78746385345,SL,0.6010100841522217,0.0013489908913889,374,3,alcista,2.0,-0.943348696146557,-0.0198800784738567,46.50861168656036,bitget,0.001,64354.1,ticker_coinbase,2026-06-23T17:47:33.498292+00:00,64.44680000000001,closed,"{'clientOid': 'e8e96c05da065', 'orderId': '1453009946499760133'}",-0.0146376343921894
cb1f90caf88e,BTCUSDT|4h|20260624T000000Z|short|428,4h,BTCUSDT,short,2026-06-24T00:03:16.326968+00:00,2026-06-24T12:07:13.914623+00:00,62723.9,62744.85,61896.36403329417,63265.11947502937,TIMEOUT,0.6010100841522217,0.0025656662258198,428,4,bajista,2.0,-0.0962116849637486,-0.0020686853783586,46.41240000159661,bitget,0.001,62644.86,ticker_coinbase,2026-06-24T12:02:45.537530+00:00,62.7239,closed,"{'clientOid': 'ecb1f90caf88e', 'orderId': '1453466740833533953'}",-0.0015338919449165
b634df776cfa,BTCUSDT|4h|20260625T160000Z|long|394,4h,BTCUSDT,long,2026-06-25T17:48:05.530228+00:00,2026-06-26T05:52:33.562136+00:00,59501.6,59757.58,60714.220149256216,58132.5998507438,TIMEOUT,0.6010100841522217,0.0031883325376618,394,7,bajista,2.0,0.1845780800000052,0.003976913066199,46.59697808159662,bitget,0.001,59428.27,ticker_coinbase,2026-06-26T05:47:29.617205+00:00,59.5016,closed,"{'clientOid': 'eb634df776cfa', 'orderId': '1454097099233312769'}",0.0031020691880555
fe3e1958568c,BTCUSDT|4h|20260701T120000Z|long|384,4h,BTCUSDT,long,2026-07-01T14:57:25.331550+00:00,2026-07-01T15:23:59+00:00,59540.8,60392.00211896584,60392.00211896584,58603.77788103416,TP,0.6010100841522217,0.0018358838062411,384,5,bajista,2.0,1.5595063179316635,0.0334679711461286,48.15648439952828,bitget,0.002,59539.04,ticker_coinbase,2026-07-02T02:57:02.328595+00:00,119.0816,closed,"{'clientOid': 'efe3e1958568c', 'orderId': '1456228476376465409'}",0.0130961149155844
8ed3386f9175,BTCUSDT|4h|20260701T160000Z|long|384,4h,BTCUSDT,long,2026-07-01T16:32:48.049383+00:00,2026-07-01T22:21:59+00:00,60096.8,60965.421676484046,60965.421676484046,59160.218323515954,TP,0.6407766938209534,0.0030310793883029,384,5,bajista,2.0,1.5930110329680915,0.0330798863918666,49.74949543249637,bitget,0.002,60080.35,ticker_coinbase,2026-07-02T04:32:23.937511+00:00,120.1936,closed,"{'clientOid': 'e8ed3386f9175', 'orderId': '1456252479170297857'}",0.0132537092904122
4f1ef1bf88c7,BTCUSDT|4h|20260702T120000Z|long|389,4h,BTCUSDT,long,2026-07-02T14:48:10.422067+00:00,2026-07-03T02:47:38.381796+00:00,61472.4,61245.95,62552.4131881572,60339.246811842815,TIMEOUT,0.6285714507102966,0.0034309084223614,389,6,lateral,5.0,-1.5010844000000363,-0.0301728567687045,48.248411032496335,bitget,0.005,61360.42,ticker_coinbase,2026-07-03T02:47:35.368182+00:00,307.362,closed,"{'clientOid': 'e4f1ef1bf88c7', 'orderId': '1456588535954554881'}",-0.0048837670239002
3d2e46c826ed,BTCUSDT|4h|20260703T000000Z|short|432,4h,BTCUSDT,short,2026-07-03T02:48:26.627623+00:00,2026-07-03T10:44:59+00:00,61307.2,61942.61716021406,60561.90283978594,61942.61716021406,SL,0.6000000238418579,0.0010541448260293,432,5,alcista,2.0,-1.4049351810449977,-0.0291187865253996,46.84347585145134,bitget,0.002,61284.24,ticker_coinbase,2026-07-03T10:47:38.381071+00:00,122.6144,closed,"{'clientOid': 'e3d2e46c826ed', 'orderId': '1456769798300647425'}",-0.0114581581041459
82d655c27d82,BTCUSDT|4h|20260703T120000Z|short|429,4h,BTCUSDT,short,2026-07-03T12:17:31.522294+00:00,2026-07-03T20:36:59+00:00,62066.3,62792.80477035865,61244.97522964135,62792.80477035865,SL,0.6010100841522217,0.0013209479266905,429,4,alcista,2.0,-1.5851575250056733,-0.0338394514111736,45.25831832644566,bitget,0.002,62077.39,ticker_coinbase,2026-07-04T00:17:07.251416+00:00,124.1326,closed,"{'clientOid': 'e82d655c27d82', 'orderId': '1456913012756201473'}",-0.0127698729020875
94e392060c77,BTCUSDT|4h|20260703T200000Z|short|429,4h,BTCUSDT,short,2026-07-03T20:38:03.942210+00:00,2026-07-04T08:42:43.688497+00:00,62695.1,62518.38,61887.950351769774,63452.02964823022,TIMEOUT,0.6285714507102966,0.0020088076633147,429,4,alcista,2.0,0.2039708248638137,0.0045068140489132,45.46228915130948,bitget,0.002,62556.16,ticker_coinbase,2026-07-04T08:37:22.607662+00:00,125.3902,closed,"{'clientOid': 'e94e392060c77', 'orderId': '1457038977343832065'}",0.0016266887273791
